"","Occupation","0p-80p","80p-90p","90p-95p","95p-100p"
"1","Chief Executives",0.00166524147251116,0.0111845449923742,0.0256362275449102,0.0905530776092774
"2","Other Managers",0.00661319712198727,0.018189507403125,0.0207085828343313,0.0207493309545049
"3","Business Operations Specialists",0.058605612996882,0.177607515150424,0.241601618192187,0.28249776984835
"4","Sales and Related",0.100080568137287,0.0780623653108143,0.0881139506700884,0.120338983050847
"5","Architecture and Engineering",0.0100142223175129,0.064367371361986,0.077113629883091,0.0444647636039251
"6","Computer and Mathematical",0.0201181499378312,0.0840955410287442,0.132605325064157,0.062921498661909
"7","Healthcare Practitioners and Technicians",0.068876731305401,0.113521332067611,0.105957727402338,0.142016057091882
"8","Life, Physical, and Social Science",0.00619410949990266,0.0114027470970122,0.0168546834901625,0.0116369313113292
"9","Other Occupations",0.727832167210684,0.441569075587908,0.291408254918734,0.224821587867975
